Alpha,Cl,Cd,Cm
-180.0,0.0,0.0361,1.0
-178.998,0.0202,0.0318,1.0
-178.001,0.0405,0.0275,1.0
-176.998,0.0607,0.0301,1.0
-176.001,0.081,0.0328,1.0
-174.998,0.1012,0.0353,1.0
-174.002,0.1215,0.0378,1.0
-172.999,0.1418,0.0464,1.0
-172.002,0.162,0.0556,1.0
-170.999,0.1822,0.0556,1.0
-170.002,0.2025,0.0534,1.0
-169.0,0.2228,0.061,1.0
-168.003,0.243,0.0735,1.0
-167.0,0.2633,0.088,1.0
-165.997,0.2835,0.1077,1.0
-165.0,0.3037,0.1225,1.0
-163.998,0.324,0.1387,1.0
-163.001,0.3442,0.1653,1.0
-161.998,0.3645,0.187,1.0
-161.001,0.3847,0.2169,1.0
-159.998,0.405,0.247,1.0
-159.002,0.4252,0.2833,1.0
-157.999,0.4455,0.3203,1.0
-157.002,0.4657,0.3617,1.0
-155.999,0.486,0.4041,1.0
-155.002,0.5063,0.4444,1.0
-154.0,0.5265,0.4848,1.0
-153.003,0.5467,0.5256,1.0
-152.0,0.567,0.5665,1.0
-150.997,0.5873,0.6101,1.0
-150.0,0.6075,0.6537,1.0
-148.998,0.6278,0.713,1.0
-148.001,0.648,0.774,1.0
-146.998,0.6683,0.8294,1.0
-146.001,0.6885,0.8835,1.0
-144.998,0.7087,0.9313,1.0
-144.001,0.729,0.9792,1.0
-142.999,0.7492,1.0156,1.0
-142.002,0.7695,1.052,1.0
-140.999,0.7897,1.0975,1.0
-140.002,0.81,1.143,1.0
-139.0,0.7882,1.1521,1.0
-138.003,0.7671,1.161,1.0
-137.0,0.7464,1.1699,1.0
-135.997,0.7263,1.1785,1.0
-135.0,0.7066,1.187,1.0
-133.998,0.6872,1.1954,1.0
-133.001,0.6683,1.2035,1.0
-131.998,0.6496,1.2113,1.0
-131.001,0.6312,1.2189,1.0
-129.998,0.6131,1.2263,1.0
-129.001,0.5952,1.2333,1.0
-127.999,0.5775,1.2401,1.0
-127.002,0.5599,1.2465,1.0
-125.999,0.5426,1.2525,1.0
-125.002,0.5254,1.2582,1.0
-124.0,0.5083,1.2635,1.0
-123.003,0.4914,1.2684,1.0
-122.0,0.4746,1.2729,1.0
-120.997,0.4579,1.2769,1.0
-120.0,0.4413,1.2805,1.0
-118.998,0.4248,1.2836,1.0
-118.001,0.4083,1.2862,1.0
-116.998,0.392,1.2883,1.0
-116.001,0.3758,1.2899,1.0
-114.998,0.3596,1.2909,1.0
-114.001,0.3435,1.2914,1.0
-112.999,0.3276,1.2913,1.0
-112.002,0.3117,1.2907,1.0
-110.999,0.2959,1.2894,1.0
-110.002,0.2802,1.2876,1.0
-108.999,0.2646,1.2851,1.0
-108.003,0.2491,1.2821,1.0
-107.0,0.2338,1.2784,1.0
-105.997,0.2186,1.274,1.0
-105.0,0.2035,1.269,1.0
-103.998,0.1885,1.2634,1.0
-103.001,0.1737,1.257,1.0
