Alpha,Cl,Cd,Cm
-180.0,0.0,0.0371,0.0
-180.0,0.0,0.6,0.0
-177.71,0.0717,0.0377,0.0914
-175.43,0.1435,0.0395,0.1828
-175.0,0.0,0.6,0.0
-173.14,0.2153,0.0424,0.2742
-170.86,0.2871,0.0465,0.3657
-170.0,0.0,0.6,0.0
-168.57,0.3589,0.0517,0.4031
-166.29,0.4306,0.0606,0.4081
-165.0,0.0,0.6,0.0
-164.0,0.5024,0.0865,0.4131
-161.71,0.5742,0.1158,0.4181
-160.0,0.0,0.6,0.0
-159.43,0.646,0.1485,0.4262
-157.14,0.7178,0.1843,0.4437
-155.0,0.0,0.6,0.0
-154.86,0.7896,0.2231,0.4611
-152.57,0.8613,0.2645,0.4785
-150.29,0.9331,0.3083,0.496
-150.0,0.0,0.6,0.0
-148.0,1.0049,0.3542,0.4883
-145.0,0.0,0.6,0.0
-143.86,0.9189,0.4419,0.4678
-140.0,0.0,0.6,0.0
-139.71,0.844,0.5337,0.448
-135.57,0.7748,0.6279,0.4369
-135.0,0.0,0.6,0.0
-131.43,0.7079,0.7223,0.4259
-130.0,0.0,0.6,0.0
-127.29,0.6411,0.8152,0.4215
-125.0,0.0,0.6,0.0
-123.14,0.5733,0.9044,0.4205
-120.0,0.0,0.6,0.0
-119.0,0.5038,0.9882,0.4202
-115.0,0.0,0.6,0.0
-114.86,0.4326,1.0649,0.4216
-110.71,0.3598,1.1328,0.4231
-110.0,0.0,0.6,0.0
-106.57,0.286,1.1906,0.4225
-105.0,0.0,0.6,0.0
-102.43,0.212,1.237,0.4216
-100.0,0.0,0.6,0.0
-98.29,0.1389,1.2711,0.4186
-95.0,0.0,0.6,0.0
-94.14,0.0678,1.2922,0.4127
-90.0,0.0,0.6,0.0
-90.0,0.0,1.3,0.4069
-85.86,-0.0678,1.2922,0.3942
-85.0,0.0,0.6,0.0
-81.71,-0.1389,1.2711,0.3816
-80.0,0.0,0.6,0.0
-77.57,-0.212,1.237,0.3667
-75.0,0.0,0.6,0.0
-73.43,-0.286,1.1906,0.3503
-70.0,0.0,0.6,0.0
-69.29,-0.3598,1.1328,0.3336
-65.14,-0.4326,1.0649,0.3156
-65.0,0.0,0.6,0.0
-61.0,-0.5038,0.9882,0.2975
-60.0,0.0,0.6,0.0
-56.86,-0.5733,0.9044,0.2798
-52.71,-0.6411,0.8152,0.2623
-48.57,-0.7079,0.7223,0.2449
-44.43,-0.7748,0.6279,0.2279
-40.29,-0.844,0.5337,0.2109
-36.14,-0.9189,0.4419,0.1352
-32.0,-1.0049,0.3542,0.0551
-28.0,-1.113,0.2049,0.0321
-24.0,-1.0542,0.1543,0.0126
-24.0,0.0,0.6,0.0
-22.0,0.0,0.6,0.0
-20.0,-0.9824,0.1096,-0.0028
-20.0,0.0,0.6,0.0
-18.0,-0.9417,0.0924,-0.0074
-18.0,0.0,0.6,0.0
-16.0,0.0,0.6,0.0
-16.0,-0.8933,0.0759,-0.011
-14.0,-0.8547,0.0605,-0.0125
-14.0,0.0,0.6,0.0
-12.0,-0.8234,0.0464,-0.0117
-12.0,0.0,0.6,0.0
-10.0,-0.7954,0.0344,-0.0108
-10.0,0.0,0.6,0.0
-8.0,-0.6365,0.0254,-0.0276
-8.0,0.0,0.6,0.0
-6.0,0.0,0.6,0.0
-6.0,-0.3909,0.0199,-0.051
-4.0,-0.1307,0.0165,-0.0714
-4.0,0.0,0.6,0.0
-2.0,0.1617,0.015,-0.0917
-2.0,0.0,0.6,0.0
-1.0,0.3112,0.0147,-0.1011
-0.0563,0.0038,1.35,1.67
-0.0352,0.00141,1.55,1.63
-0.029,0.0145,1.35,1.53
0.0,0.0,2.201,0.946
0.0,0.4595,0.0146,-0.1098
0.0,0.95,0.95,1.89
0.0,0.0,1.9,0.25
0.0,1.35832,0.4,1.361
0.0,1.48657,0.55,1.71923
0.0,1.0,1.0,1.0
0.0,0.0,1.8,1.0
0.0,0.0,0.543,0.543
0.0,0.0,0.799,0.799
0.0,0.0,0.641,0.641
0.0,0.0,0.625,0.625
0.0,0.0,0.6,0.0
0.0,0.0,0.854,0.854
0.0,0.0,0.4,0.95
0.0,0.0,0.01,0.01
0.000848,0.000198,0.712,0.116
0.00269,0.000945,0.769,0.158
0.00525,0.00192,0.728,0.162
0.00531,0.0275,0.0565,0.0016
0.00853,0.00304,0.689,0.16
0.0133,0.00454,0.655,0.158
0.0179,-0.575,0.0632,0.0132
0.0205,0.00665,0.619,0.156
0.0309,0.00981,0.576,0.16
0.0373,0.0411,0.129,0.0171
0.0467,0.0147,0.529,0.168
0.0483,0.028,1.33,1.41
0.057,0.013,0.061,0.234
0.0573,0.319,0.164,0.0172
0.0713,0.0228,0.481,0.183
0.0775,0.514,0.185,0.0172
0.0825,0.264,0.223,0.0201
0.1,0.652,0.202,0.018
0.109,0.0358,0.431,0.202
0.112,0.304,0.278,0.0238
0.125,0.0379,1.23,1.36
0.127,0.0172,0.0997,0.287
0.127,0.74,0.217,0.0194
0.131,0.33,0.309,0.0249
0.147,0.357,0.329,0.0264
0.158,0.781,0.235,0.0198
0.163,0.39,0.345,0.029
0.163,0.0175,0.123,0.318
0.168,0.0556,0.376,0.222
0.182,0.429,0.361,0.0315
0.185,0.0176,0.139,0.343
0.192,0.748,0.254,0.0191
0.201,0.0186,0.155,0.373
0.207,0.473,0.38,0.0331
0.216,0.02,0.172,0.409
0.218,0.308,0.881,-0.3
0.221,0.314,0.794,-0.101
0.23,0.31,0.7,0.058
