Alpha,Cl,Cd,Cm
-180.0,0.0,0.0117,0.0
-177.71,0.0581,0.0124,0.0914
-175.43,0.1163,0.0146,0.1828
-173.14,0.1745,0.0181,0.2742
-170.86,0.2327,0.023,0.3657
-168.57,0.2908,0.0292,0.3956
-166.29,0.349,0.0538,0.3887
-164.0,0.4072,0.0837,0.3818
-161.71,0.4654,0.1178,0.3749
-159.43,0.5236,0.1558,0.374
-157.14,0.5817,0.1974,0.3914
-154.86,0.6399,0.2423,0.4088
-152.57,0.6981,0.2904,0.4262
-150.29,0.7563,0.3412,0.4436
-148.0,0.8144,0.3946,0.4453
-143.86,0.7792,0.4964,0.4443
-139.71,0.7451,0.6031,0.4436
-135.57,0.7088,0.7126,0.446
-131.43,0.6683,0.8224,0.4485
-127.29,0.6225,0.9305,0.4537
-123.14,0.5708,1.0344,0.4602
-119.0,0.513,1.1322,0.4663
-114.86,0.4496,1.2217,0.4713
-110.71,0.3811,1.3012,0.4762
-106.57,0.3084,1.369,0.477
-102.43,0.2326,1.4237,0.4769
-98.29,0.155,1.4643,0.474
-94.14,0.0769,1.4899,0.4673
-90.0,0.0,1.5,0.4605
-85.86,-0.0769,1.4899,0.445
-81.71,-0.155,1.4643,0.4296
-77.57,-0.2326,1.4237,0.4112
-73.43,-0.3084,1.369,0.3908
-69.29,-0.3811,1.3012,0.3698
-65.14,-0.4496,1.2217,0.3466
-61.0,-0.513,1.1322,0.3233
-56.86,-0.5708,1.0344,0.2998
-52.71,-0.6225,0.9305,0.2761
-48.57,-0.6683,0.8224,0.2528
-44.43,-0.7088,0.7126,0.2299
-40.29,-0.7451,0.6031,0.207
-36.14,-0.7792,0.4964,0.1456
-32.0,-0.8144,0.3946,0.0813
-28.0,-1.0778,0.2225,0.0459
-24.0,-1.1269,0.1515,0.019
-20.0,-1.1448,0.0969,0.0006
-18.0,-1.1279,0.0774,-0.0034
-16.0,-1.0939,0.0612,-0.0058
-14.0,-1.0596,0.0466,-0.0065
-12.0,-1.0312,0.033,-0.0075
-10.0,-0.937,0.0202,-0.0224
-8.0,-0.6738,0.0116,-0.0558
-6.0,-0.4039,0.0091,-0.0715
-4.0,-0.1422,0.0083,-0.0812
-2.0,0.1158,0.0081,-0.0889
-1.0,0.2438,0.008,-0.0923
0.0,0.3711,0.0081,-0.0955
1.0,0.4976,0.0082,-0.0985
2.0,0.6233,0.0084,-0.1013
3.0,0.7479,0.0086,-0.104
4.0,0.8713,0.009,-0.1064
5.0,0.9932,0.0094,-0.1086
6.0,1.1132,0.0099,-0.1105
7.0,1.2303,0.0107,-0.1121
8.0,1.3449,0.0115,-0.1133
9.0,1.454,0.0126,-0.1139
10.0,1.5591,0.0139,-0.114
11.0,1.6577,0.0154,-0.1133
12.0,1.7483,0.0172,-0.1118
13.0,1.8266,0.0196,-0.1093
14.0,1.8883,0.0229,-0.106
15.0,1.9257,0.0279,-0.1023
16.0,1.9272,0.036,-0.0988
18.0,1.8005,0.0653,-0.0949
20.0,1.6308,0.1045,-0.0999
24.0,1.4334,0.1914,-0.1258
28.0,1.288,0.2862,-0.1545
32.0,1.1635,0.3946,-0.1839
36.14,1.1132,0.4964,-0.2109
40.29,1.0644,0.6031,-0.2376
44.43,1.0125,0.7126,-0.2599
48.57,0.9547,0.8224,-0.2821
52.71,0.8893,0.9305,-0.3032
56.86,0.8154,1.0344,-0.3236
61.0,0.7329,1.1322,-0.3438
65.14,0.6423,1.2217,-0.3629
69.29,0.5445,1.3012,-0.382
73.43,0.4406,1.369,-0.3994
77.57,0.3323,1.4237,-0.4164
81.71,0.2214,1.4643,-0.4323
85.86,0.1099,1.4899,-0.4464
90.0,0.0,1.5,-0.4605
94.14,-0.0769,1.4899,-0.4673
98.29,-0.155,1.4643,-0.474
102.43,-0.2326,1.4237,-0.4769
106.57,-0.3084,1.369,-0.477
110.71,-0.3811,1.3012,-0.4762
114.86,-0.4496,1.2217,-0.4713
119.0,-0.513,1.1322,-0.4663
123.14,-0.5708,1.0344,-0.4602
127.29,-0.6225,0.9305,-0.4537
131.43,-0.6683,0.8224,-0.4485
135.57,-0.7088,0.7126,-0.446
139.71,-0.7451,0.6031,-0.4436
143.86,-0.7792,0.4964,-0.4443
148.0,-0.8144,0.3946,-0.4453
150.29,-0.7563,0.3412,-0.4436
152.57,-0.6981,0.2904,-0.4262
154.86,-0.6399,0.2423,-0.4088
157.14,-0.5817,0.1974,-0.3914
159.43,-0.5236,0.1558,-0.374
161.71,-0.4654,0.1178,-0.392
164.0,-0.4072,0.0837,-0.4218
166.29,-0.349,0.0538,-0.4516
168.57,-0.2908,0.0292,-0.4813
170.86,-0.2327,0.023,-0.4571
173.14,-0.1745,0.0181,-0.3428
175.43,-0.1163,0.0146,-0.2285
177.71,-0.0581,0.0124,-0.1142
180.0,0.0,0.0117,0.0
