Alpha,Cl,Cd,Cm
-180.0,0.0,0.0202,0.0
-175.0,0.3675,0.0356,0.1846
-170.0,0.735,0.0995,0.3706
-160.0,0.6789,0.2912,0.3065
-155.0,0.7582,0.406,0.3497
-150.0,0.8064,0.5264,0.3836
-145.0,0.8263,0.6481,0.4095
-140.0,0.8205,0.7676,0.4288
-135.0,0.792,0.8818,0.4425
-130.0,0.7433,0.9883,0.4514
-125.0,0.6771,1.0852,0.4563
-120.0,0.596,1.1709,0.4577
-115.0,0.5024,1.2442,0.4563
-110.0,0.3988,1.3041,0.4524
-105.0,0.2873,1.3498,0.4464
-100.0,0.1703,1.381,0.4385
-95.0,0.0733,1.4169,0.3529
-90.0,-0.0502,1.4201,0.3416
-85.0,-0.1732,1.4081,0.3292
-80.0,-0.2935,1.3811,0.3159
-75.0,-0.4091,1.3394,0.3017
-70.0,-0.5178,1.2833,0.2866
-65.0,-0.6174,1.2138,0.2707
-60.0,-0.7056,1.1315,0.2539
-55.0,-0.7801,1.0378,0.2364
-50.0,-0.8386,0.9341,0.2181
-45.0,-0.8785,0.8221,0.1991
-40.0,-0.8975,0.7042,0.1792
-35.0,-0.8929,0.5829,0.1587
-30.0,-0.8622,0.4616,0.1374
-25.0,-0.8029,0.3441,0.1154
-24.0,-0.792,0.3209,0.1101
-23.0,-0.7886,0.2972,0.1031
-22.0,-0.7917,0.273,0.0947
-21.0,-0.8007,0.2485,0.0849
-20.0,-0.8147,0.2237,0.0739
-19.0,-0.8329,0.199,0.0618
-18.0,-0.8544,0.1743,0.0488
-17.0,-0.8786,0.1498,0.0351
-16.0,-0.9045,0.1256,0.0208
-15.0,-0.9315,0.102,0.006
-14.0,-0.9585,0.0789,-0.0091
-13.0,-0.985,0.0567,-0.0243
-12.999,-0.985,0.05665,-0.02434
-12.005,-0.953,0.02713,-0.0349
-11.001,-0.9,0.030259,-0.03608
-9.983,-0.827,0.028691,-0.0464
-8.977,-0.753,0.027142,-0.05343
-8.472,-0.691,0.026364,-0.065
-7.446,-0.555,0.01142,-0.07817
-6.421,-0.413,0.00939,-0.09036
-5.395,-0.271,0.00863,-0.10059
-5.0,-0.22,0.00729,-0.1107
-4.5,-0.152,0.00714,-0.1135
-4.0,-0.084,0.007,-0.1162
-3.5,-0.018,0.00692,-0.1186
-3.0,0.049,0.00684,-0.1209
-2.5,0.115,0.0068,-0.1231
-2.0,0.181,0.00676,-0.1252
-1.5,0.247,0.00673,-0.1272
-1.0,0.312,0.00668,-0.1293
-0.5,0.377,0.00672,-0.1311
0.0,0.442,0.0067,-0.133
0.5,0.507,0.0067,-0.1347
1.0,0.572,0.00673,-0.1364
1.5,0.636,0.00679,-0.138
2.0,0.701,0.00683,-0.1396
2.5,0.765,0.00687,-0.1411
3.0,0.828,0.00698,-0.1424
3.5,0.891,0.00707,-0.1437
4.0,0.954,0.00723,-0.1448
4.5,1.015,0.00752,-0.1456
5.0,1.063,0.00786,-0.1445
6.0,1.16,0.00988,-0.1419
6.5,1.206,0.01168,-0.1403
7.0,1.25,0.0132,-0.1382
7.5,1.296,0.01424,-0.1362
8.0,1.329,0.01513,-0.132
8.5,1.359,0.01625,-0.1276
9.0,1.387,0.01762,-0.1234
9.5,1.412,0.02035,-0.1193
10.0,1.422,0.0251,-0.1152
10.5,1.4,0.0319,-0.1115
11.0,1.336,0.0392,-0.1081
11.5,1.267,0.0475,-0.1052
12.0,1.218,0.0548,-0.1026
12.5,1.183,0.0626,-0.1
13.0,1.172,0.0706,-0.098
13.5,1.168,0.0796,-0.0969
14.0,1.172,0.0894,-0.0968
14.5,1.17,0.09878,-0.0973
15.0,1.177,0.10835,-0.0981
15.5,1.183,0.11767,-0.0992
16.0,1.188,0.12699,-0.1006
16.5,1.19,0.13636,-0.1023
17.0,1.196,0.14561,-0.1042
17.5,1.198,0.15459,-0.1064
18.0,1.201,0.16199,-0.1082
18.5,1.203,0.17113,-0.111
19.0,1.211,0.18039,-0.1143
19.5,1.222,0.18972,-0.1179
20.0,1.23,0.19911,-0.1219
20.5,1.233,0.20837,-0.1261
21.0,1.231,0.2211,-0.1303
22.0,1.1874,0.2443,-0.1375
23.0,1.1433,0.2679,-0.1446
24.0,1.0998,0.2918,-0.1515
25.0,1.0576,0.3161,-0.1584
26.0,1.0178,0.3406,-0.1651
28.0,0.9486,0.3899,-0.1781
30.0,0.8993,0.4392,-0.1904
32.0,0.8771,0.4879,-0.2017
35.0,0.8881,0.5598,-0.2173
40.0,0.8947,0.6792,-0.2418
45.0,0.878,0.7957,-0.265
50.0,0.8405,0.9067,-0.2867
55.0,0.7847,1.0099,-0.3072
60.0,0.7128,1.1035,-0.3265
65.0,0.6273,1.186,-0.3446
70.0,0.5303,1.2562,-0.3616
75.0,0.4242,1.3132,-0.3775
80.0,0.311,1.3562,-0.3921
85.0,0.1929,1.3848,-0.4057
90.0,0.0719,1.3985,-0.418
95.0,-0.0499,1.3973,-0.4289
100.0,-0.1703,1.381,-0.4385
105.0,-0.2873,1.3498,-0.4464
110.0,-0.3988,1.3041,-0.4524
115.0,-0.5024,1.2442,-0.4563
120.0,-0.596,1.1709,-0.4577
125.0,-0.6771,1.0852,-0.4563
130.0,-0.7433,0.9883,-0.4514
