Alpha,Cl,Cd,Cm
-180.0,0.0,0.0245,0.0
-177.71,0.065,0.0251,0.0914
-175.43,0.1301,0.0269,0.1828
-173.14,0.1952,0.0299,0.2742
-170.86,0.2603,0.034,0.3657
-168.57,0.3254,0.0393,0.4008
-166.29,0.3904,0.0591,0.4022
-164.0,0.4555,0.0849,0.4035
-161.71,0.5206,0.1143,0.4049
-159.43,0.5857,0.147,0.4101
-157.14,0.6508,0.1829,0.4267
-154.86,0.7159,0.2216,0.4434
-152.57,0.7809,0.263,0.4601
-150.29,0.846,0.3069,0.4768
-148.0,0.9111,0.3528,0.4716
-143.86,0.8425,0.4406,0.4565
-139.71,0.7818,0.5325,0.442
-135.57,0.7244,0.6267,0.4345
-131.43,0.6675,0.7213,0.427
-127.29,0.6092,0.8142,0.4248
-123.14,0.5486,0.9035,0.4254
-119.0,0.4853,0.9874,0.4263
-114.86,0.4191,1.0642,0.4281
-110.71,0.3505,1.1322,0.4299
-106.57,0.2801,1.1901,0.4291
-102.43,0.2088,1.2366,0.4278
-98.29,0.1375,1.2709,0.4244
-94.14,0.0675,1.2921,0.4179
-90.0,0.0,1.3,0.4114
-85.86,-0.0675,1.2921,0.398
-81.71,-0.1375,1.2709,0.3846
-77.57,-0.2088,1.2366,0.3689
-73.43,-0.2801,1.1901,0.3515
-69.29,-0.3505,1.1322,0.3339
-65.14,-0.4191,1.0642,0.3147
-61.0,-0.4853,0.9874,0.2955
-56.86,-0.5486,0.9035,0.2765
-52.71,-0.6092,0.8142,0.2575
-48.57,-0.6675,0.7213,0.2387
-44.43,-0.7244,0.6267,0.2202
-40.29,-0.7818,0.5325,0.2018
-36.14,-0.8425,0.4406,0.1364
-32.0,-0.9111,0.3528,0.0676
-28.0,-1.1034,0.2172,0.0423
-24.0,-1.1073,0.1562,0.0202
-20.0,-1.1181,0.1033,0.004
-18.0,-1.1233,0.0818,0.0001
-16.0,-1.1186,0.0633,-0.0016
-14.0,-1.1162,0.0471,-0.0012
-12.0,-1.0958,0.0328,-0.0046
-10.0,-0.9176,0.0235,-0.0249
-8.0,-0.6931,0.0179,-0.043
-6.0,-0.4539,0.0143,-0.0586
-4.0,-0.1777,0.0124,-0.076
-2.0,0.1048,0.0116,-0.0912
-1.0,0.2438,0.0114,-0.0976
0.0,0.3811,0.0113,-0.1034
1.0,0.5166,0.0114,-0.1086
2.0,0.6504,0.0115,-0.1133
3.0,0.7826,0.0117,-0.1176
4.0,0.9132,0.012,-0.1215
5.0,1.042,0.0123,-0.1251
6.0,1.1687,0.0128,-0.1282
7.0,1.2929,0.0133,-0.131
8.0,1.4139,0.014,-0.1333
9.0,1.5308,0.0148,-0.135
10.0,1.642,0.0159,-0.1359
11.0,1.7456,0.0172,-0.136
12.0,1.8388,0.019,-0.1351
13.0,1.9176,0.0216,-0.1332
14.0,1.9741,0.0257,-0.1302
15.0,1.9991,0.0322,-0.1264
16.0,1.9937,0.0415,-0.1226
18.0,1.9172,0.0673,-0.1167
20.0,1.7368,0.1052,-0.1165
24.0,1.4732,0.1922,-0.1379
28.0,1.3601,0.2744,-0.1624
32.0,1.3016,0.3528,-0.1846
36.14,1.2036,0.4406,-0.2089
40.29,1.1169,0.5325,-0.2327
44.43,1.0349,0.6267,-0.2501
48.57,0.9536,0.7213,-0.2674
52.71,0.8704,0.8142,-0.2836
56.86,0.7838,0.9035,-0.2992
61.0,0.6932,0.9874,-0.3147
65.14,0.5987,1.0642,-0.3298
69.29,0.5008,1.1322,-0.345
73.43,0.4002,1.1901,-0.3594
77.57,0.2983,1.2366,-0.3736
81.71,0.1964,1.2709,-0.387
85.86,0.0964,1.2921,-0.3992
90.0,0.0,1.3,-0.4114
94.14,-0.0675,1.2921,-0.4179
98.29,-0.1375,1.2709,-0.4244
102.43,-0.2088,1.2366,-0.4278
106.57,-0.2801,1.1901,-0.4291
110.71,-0.3505,1.1322,-0.4299
114.86,-0.4191,1.0642,-0.4281
119.0,-0.4853,0.9874,-0.4263
123.14,-0.5486,0.9035,-0.4254
127.29,-0.6092,0.8142,-0.4248
131.43,-0.6675,0.7213,-0.427
135.57,-0.7244,0.6267,-0.4345
139.71,-0.7818,0.5325,-0.442
143.86,-0.8425,0.4406,-0.4565
148.0,-0.9111,0.3528,-0.4716
150.29,-0.846,0.3069,-0.4768
152.57,-0.7809,0.263,-0.4601
154.86,-0.7159,0.2216,-0.4434
157.14,-0.6508,0.1829,-0.4267
159.43,-0.5857,0.147,-0.4101
161.71,-0.5206,0.1143,-0.422
164.0,-0.4555,0.0849,-0.4435
166.29,-0.3904,0.0591,-0.465
168.57,-0.3254,0.0393,-0.4865
170.86,-0.2603,0.034,-0.4571
173.14,-0.1952,0.0299,-0.3428
175.43,-0.1301,0.0269,-0.2285
177.71,-0.065,0.0251,-0.1142
180.0,0.0,0.0245,0.0
