Alpha,Cl,Cd,Cm
-180.0,0.0,0.0154,0.0
-177.71,0.0621,0.0161,0.0914
-175.43,0.1242,0.018,0.1828
-173.14,0.1863,0.0213,0.2742
-170.86,0.2485,0.0258,0.3657
-168.57,0.3106,0.0328,0.3987
-166.29,0.3727,0.0568,0.3967
-164.0,0.4349,0.0847,0.3947
-161.71,0.497,0.1164,0.3926
-159.43,0.5591,0.1517,0.3954
-157.14,0.6212,0.1904,0.4125
-154.86,0.6834,0.2323,0.4296
-152.57,0.7455,0.277,0.4467
-150.29,0.8076,0.3244,0.4638
-148.0,0.8698,0.374,0.4618
-143.86,0.8166,0.4688,0.4533
-139.71,0.7681,0.5681,0.4452
-135.57,0.7204,0.6699,0.4423
-131.43,0.6709,0.7721,0.4395
-127.29,0.6182,0.8725,0.4407
-123.14,0.5615,0.9692,0.444
-119.0,0.5005,1.06,0.4473
-114.86,0.4354,1.1431,0.4506
-110.71,0.3665,1.2168,0.4538
-106.57,0.2947,1.2796,0.4537
-102.43,0.2209,1.3303,0.4529
-98.29,0.1463,1.3676,0.4497
-94.14,0.0722,1.391,0.443
-90.0,0.0,1.4,0.4363
-85.86,-0.0722,1.391,0.4218
-81.71,-0.1463,1.3676,0.4073
-77.57,-0.2209,1.3303,0.3902
-73.43,-0.2947,1.2796,0.3712
-69.29,-0.3665,1.2168,0.3519
-65.14,-0.4354,1.1431,0.3306
-61.0,-0.5005,1.06,0.3094
-56.86,-0.5615,0.9692,0.2881
-52.71,-0.6182,0.8725,0.2668
-48.57,-0.6709,0.7721,0.2457
-44.43,-0.7204,0.6699,0.2251
-40.29,-0.7681,0.5681,0.2044
-36.14,-0.8166,0.4688,0.1395
-32.0,-0.8698,0.374,0.0713
-28.0,-1.0983,0.2188,0.044
-24.0,-1.0833,0.1598,0.0216
-20.0,-1.0699,0.1074,0.0042
-18.0,-1.0545,0.0869,-0.0003
-16.0,-1.0343,0.0684,-0.0033
-14.0,-1.0836,0.0473,-0.0028
-12.0,-1.0948,0.0308,-0.0055
-10.0,-0.9266,0.0198,-0.0295
-8.0,-0.6967,0.0143,-0.0482
-6.0,-0.4362,0.0115,-0.0648
-4.0,-0.1625,0.0102,-0.0791
-2.0,0.107,0.0097,-0.0904
-1.0,0.2399,0.0096,-0.0951
0.0,0.3715,0.0096,-0.0995
1.0,0.5021,0.0097,-0.1035
2.0,0.6313,0.0099,-0.1072
3.0,0.7595,0.0101,-0.1106
4.0,0.8863,0.0104,-0.1138
5.0,1.0117,0.0108,-0.1167
6.0,1.1343,0.0114,-0.1192
7.0,1.2553,0.0119,-0.1214
8.0,1.3737,0.0126,-0.1232
9.0,1.4884,0.0135,-0.1246
10.0,1.5978,0.0146,-0.1252
11.0,1.7,0.0159,-0.125
12.0,1.7919,0.0177,-0.1237
13.0,1.8678,0.0203,-0.1209
14.0,1.9268,0.0238,-0.1172
15.0,1.909,0.0323,-0.1093
16.0,1.8854,0.0425,-0.1052
18.0,1.721,0.0767,-0.1029
20.0,1.5473,0.1191,-0.1101
24.0,1.3717,0.2018,-0.1343
28.0,1.3361,0.2798,-0.1577
32.0,1.2425,0.374,-0.1843
36.14,1.1665,0.4688,-0.21
40.29,1.0973,0.5681,-0.2353
44.43,1.0291,0.6699,-0.255
48.57,0.9585,0.7721,-0.2748
52.71,0.8832,0.8725,-0.2934
56.86,0.8022,0.9692,-0.3114
61.0,0.7151,1.06,-0.3292
65.14,0.622,1.1431,-0.3464
69.29,0.5236,1.2168,-0.3635
73.43,0.421,1.2796,-0.3794
77.57,0.3156,1.3303,-0.3951
81.71,0.2091,1.3676,-0.4098
85.86,0.1032,1.391,-0.423
90.0,0.0,1.4,-0.4363
94.14,-0.0722,1.391,-0.443
98.29,-0.1463,1.3676,-0.4497
102.43,-0.2209,1.3303,-0.4529
106.57,-0.2947,1.2796,-0.4537
110.71,-0.3665,1.2168,-0.4538
114.86,-0.4354,1.1431,-0.4506
119.0,-0.5005,1.06,-0.4473
123.14,-0.5615,0.9692,-0.444
127.29,-0.6182,0.8725,-0.4407
131.43,-0.6709,0.7721,-0.4395
135.57,-0.7204,0.6699,-0.4423
139.71,-0.7681,0.5681,-0.4452
143.86,-0.8166,0.4688,-0.4533
148.0,-0.8698,0.374,-0.4618
150.29,-0.8076,0.3244,-0.4638
152.57,-0.7455,0.277,-0.4467
154.86,-0.6834,0.2323,-0.4296
157.14,-0.6212,0.1904,-0.4125
159.43,-0.5591,0.1517,-0.3954
161.71,-0.497,0.1164,-0.4098
164.0,-0.4349,0.0847,-0.4347
166.29,-0.3727,0.0568,-0.4595
168.57,-0.3106,0.0328,-0.4844
170.86,-0.2485,0.0258,-0.4571
173.14,-0.1863,0.0213,-0.3428
175.43,-0.1242,0.018,-0.2285
177.71,-0.0621,0.0161,-0.1142
180.0,0.0,0.0154,0.0
